what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395753065110
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395753066940
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395753068554
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395753075481
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395753078802
closed,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395753078822
activated,view,org.python.pydev,2.7.5.2013052819,"org.python.pydev.navigator.view",1395753087728
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395753089521
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753095612
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753429215
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1395753441385
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1395753442493
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753472161
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753516407
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753518733
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753518752
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753521400
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753521426
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753527410
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753529200
executed,command,org.python.pydev.debug,2.7.5.2013052819,"org.python.pydev.debug.ui.actions.runEditorBasedOnNatureTypeAction",1395753538737
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753539546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753539570
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753543257
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753543277
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753546264
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753549590
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753566065
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753572600
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753573545
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753580714
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753586926
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753589008
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753591115
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753670573
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753672101
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753685531
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1395753694448
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1395753697176
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753728461
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753733852
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753792488
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753793955
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753812755
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753814868
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753828976
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753839414
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753840751
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753906351
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1395753911528
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753939440
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753942409
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753943068
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753948652
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753956909
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753957061
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753957726
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753961531
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753972089
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753976002
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753976926
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753978839
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753983618
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395753988120
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1395753988860
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754004154
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754080944
executed,command,org.python.pydev.debug,2.7.5.2013052819,"org.python.pydev.debug.ui.actions.runEditorBasedOnNatureTypeAction",1395754093510
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754094316
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754097362
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754142531
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754142716
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754143342
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754146387
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754179885
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754182134
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754185239
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754275802
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1395754283737
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754302083
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754302114
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754309620
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754310735
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754312395
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754316307
executed,command,org.python.pydev.debug,2.7.5.2013052819,"org.python.pydev.debug.ui.actions.runEditorBasedOnNatureTypeAction",1395754321866
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754322642
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754322670
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754335218
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754342881
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1395754346612
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754350358
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754356312
executed,command,org.python.pydev.debug,2.7.5.2013052819,"org.python.pydev.debug.ui.actions.runEditorBasedOnNatureTypeAction",1395754365868
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754366646
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754368829
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754371242
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754406820
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1395754410272
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1395754411405
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754423065
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754425616
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1395754439908
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754451911
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754456309
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754473567
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754475909
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754485116
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754487592
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754496612
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754498625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754505212
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395754507904
