what,kind,bundleId,bundleVersion,description,time
started,bundle,org.python.pydev.shared_interactive_console,2.7.5.2013052819,"org.python.pydev.shared_interactive_console",1395671126333
started,bundle,org.python.pydev.shared_ui,2.7.5.2013052819,"org.python.pydev.shared_ui",1395671126333
os,sysinfo,,,"win32",1395671126335
arch,sysinfo,,,"x86",1395671126335
ws,sysinfo,,,"win32",1395671126335
locale,sysinfo,,,"en_IN",1395671126335
processors,sysinfo,,,"8",1395671126335
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1395671126335
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1395671126335
java.specification.name,sysinfo,,,"Java Platform API Specification",1395671126335
java.specification.vendor,sysinfo,,,"Oracle Corporation",1395671126335
java.specification.version,sysinfo,,,"1.7",1395671126335
java.vendor,sysinfo,,,"Oracle Corporation",1395671126335
java.version,sysinfo,,,"1.7.0_51",1395671126335
java.vm.info,sysinfo,,,"mixed mode, sharing",1395671126335
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1395671126335
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1395671126335
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1395671126335
java.vm.specification.version,sysinfo,,,"1.7",1395671126335
java.vm.vendor,sysinfo,,,"Oracle Corporation",1395671126335
java.vm.version,sysinfo,,,"24.51-b03",1395671126335
started,bundle,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms",1395671126528
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671126777
started,bundle,com.android.ide.eclipse.adt,0.9.6.v201002051504-24846,"com.android.ide.eclipse.adt",1395671126804
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1395671127409
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671131255
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671133104
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671133290
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671135023
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671150172
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671158355
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671159276
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671161689
activated,view,org.python.pydev,2.7.5.2013052819,"org.python.pydev.navigator.view",1395671167601
opened,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395671169914
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395671169936
started,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1395671173497
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671174952
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671177046
opened,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395671178855
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395671178869
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395671181340
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395671187333
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671189143
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671193436
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395671194641
activated,view,org.python.pydev,2.7.5.2013052819,"org.python.pydev.navigator.view",1395671198216
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395671202135
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671203635
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671206081
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395671213337
