what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1395672137602
ws,sysinfo,,,"win32",1395672137602
locale,sysinfo,,,"en_IN",1395672137602
processors,sysinfo,,,"8",1395672137602
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1395672137602
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1395672137602
java.specification.name,sysinfo,,,"Java Platform API Specification",1395672137602
java.specification.vendor,sysinfo,,,"Oracle Corporation",1395672137602
java.specification.version,sysinfo,,,"1.7",1395672137602
java.vendor,sysinfo,,,"Oracle Corporation",1395672137602
java.version,sysinfo,,,"1.7.0_51",1395672137602
java.vm.info,sysinfo,,,"mixed mode, sharing",1395672137602
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1395672137602
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1395672137602
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1395672137602
java.vm.specification.version,sysinfo,,,"1.7",1395672137602
java.vm.vendor,sysinfo,,,"Oracle Corporation",1395672137602
java.vm.version,sysinfo,,,"24.51-b03",1395672137602
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672139827
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672153702
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672227341
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672254597
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672328806
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1395672343900
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1395672345643
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1395672345802
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1395672345989
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395672348136
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1395672351974
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672376066
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672647755
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672676500
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672719058
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672721906
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672729812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672748523
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672791215
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672794655
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672800242
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672840022
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672844377
activated,view,org.python.pydev,2.7.5.2013052819,"org.python.pydev.navigator.view",1395672850887
started,bundle,org.python.pydev.customizations,2.7.5.2013052819,"org.python.pydev.customizations",1395672851005
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1395672851034
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672853718
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672861980
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1395672861999
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672864182
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672875496
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672875736
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672882751
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672904454
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1395672904464
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672905674
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672912046
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395672912145
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1395672912243
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1395672912243
stopped,bundle,com.android.ide.eclipse.adt,0.9.6.v201002051504-24846,"com.android.ide.eclipse.adt",1395672912244
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1395672912244
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1395672912244
