what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395673043563
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395673096782
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395673099973
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395673149219
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1395673150739
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1395673153108
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395673157203
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395673157257
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395673173933
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395673176767
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395673177978
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395686468251
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1395686473196
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1395686473305
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1395686473305
stopped,bundle,com.android.ide.eclipse.adt,0.9.6.v201002051504-24846,"com.android.ide.eclipse.adt",1395686473305
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1395686473305
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1395686473305
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1395686473305
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1395686473305
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1395686473305
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1395686473305
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1395686473305
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1395686473305
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1395686473305
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1395686473305
stopped,bundle,com.python.pydev.codecompletion,2.7.5.2013052819,"com.python.pydev.codecompletion",1395686473305
stopped,bundle,com.python.pydev.refactoring,2.7.5.2013052819,"com.python.pydev.refactoring",1395686473305
